time,position,velocity
0.01,0.00019991,0.019991
0.02,0.000598261,0.0398351
0.03,0.00119321,0.0594951
0.04,0.00198256,0.0789345
0.05,0.00296373,0.098117
0.06,0.0041338,0.117007
0.07,0.00548949,0.135569
0.08,0.00702718,0.153769
0.09,0.00874291,0.171573
0.1,0.0106324,0.188948
0.11,0.012691,0.20586
0.12,0.0149138,0.22228
0.13,0.0172955,0.238175
0.14,0.0198307,0.253517
0.15,0.0225135,0.268275
0.16,0.0253377,0.282422
0.17,0.028297,0.295931
0.18,0.0313847,0.308776
0.19,0.0345941,0.320932
0.2,0.0379178,0.332374
0.21,0.0413486,0.343081
0.22,0.0448789,0.353031
0.23,0.048501,0.362203
0.24,0.0522067,0.370578
0.25,0.0559881,0.378138
0.26,0.0598368,0.384867
0.27,0.0637443,0.390749
0.28,0.067702,0.39577
0.29,0.0717011,0.399917
0.3,0.0757329,0.40318
0.31,0.0797884,0.405547
0.32,0.0838585,0.407011
0.33,0.0879341,0.407564
0.34,0.0920061,0.4072
0.35,0.0960653,0.405915
0.36,0.100102,0.403705
0.37,0.104108,0.40057
0.38,0.108073,0.396508
0.39,0.111988,0.391521
0.4,0.115844,0.385612
0.41,0.119632,0.378784
0.42,0.123343,0.371043
0.43,0.126967,0.362396
0.44,0.130495,0.352851
0.45,0.133919,0.342417
0.46,0.13723,0.331106
0.47,0.14042,0.31893
0.48,0.143479,0.305902
0.49,0.146399,0.292037
0.5,0.149173,0.277351
0.51,0.151791,0.261863
0.52,0.154247,0.245591
0.53,0.156533,0.228554
0.54,0.15864,0.210774
0.55,0.160563,0.192274
0.56,0.162294,0.173076
0.57,0.163826,0.153206
0.58,0.165153,0.13269
0.59,0.166268,0.111553
0.6,0.167167,0.0898247
0.61,0.167842,0.0675327
0.62,0.168289,0.0447071
0.63,0.168503,0.0213784
0.64,0.168479,-0.00242177
0.65,0.168212,-0.0266611
0.66,0.167699,-0.0513066
0.67,0.166936,-0.0763244
0.68,0.165919,-0.10168
0.69,0.164646,-0.127338
0.7,0.163113,-0.153263
0.71,0.161319,-0.179418
0.72,0.159261,-0.205767
0.73,0.156938,-0.232272
0.74,0.154349,-0.258895
0.75,0.151493,-0.285599
0.76,0.14837,-0.312345
0.77,0.144979,-0.339094
0.78,0.141321,-0.365808
0.79,0.137396,-0.392447
0.8,0.133207,-0.418972
0.81,0.128753,-0.445345
0.82,0.124038,-0.471525
0.83,0.119063,-0.497473
0.84,0.113832,-0.523151
0.85,0.108347,-0.54852
0.86,0.102611,-0.57354
0.87,0.0966295,-0.598173
0.88,0.0904057,-0.622382
0.89,0.0839444,-0.646127
0.9,0.0772507,-0.669373
0.91,0.0703299,-0.692081
0.92,0.0631877,-0.714215
0.93,0.0558303,-0.735739
0.94,0.0482641,-0.756618
0.95,0.040496,-0.776817
0.96,0.032533,-0.796302
0.97,0.0243826,-0.81504
0.98,0.0160526,-0.832998
0.99,0.00755114,-0.850144
1,-0.00111334,-0.866449
1.01,-0.00993215,-0.881881
1.02,-0.0188963,-0.896411
1.03,-0.0279964,-0.910013
1.04,-0.037223,-0.922659
1.05,-0.0465662,-0.934322
1.06,-0.056016,-0.94498
1.07,-0.0655621,-0.954606
1.08,-0.0751939,-0.96318
1.09,-0.0849007,-0.97068
1.1,-0.0946715,-0.977086
1.11,-0.104495,-0.98238
1.12,-0.114361,-0.986543
1.13,-0.124256,-0.989561
1.14,-0.134171,-0.991417
1.15,-0.144092,-0.992099
1.16,-0.154007,-0.991595
1.17,-0.163906,-0.989895
1.18,-0.173776,-0.986988
1.19,-0.183605,-0.982868
1.2,-0.19338,-0.977529
1.21,-0.20309,-0.970964
1.22,-0.212722,-0.963173
1.23,-0.222263,-0.954152
1.24,-0.231702,-0.943902
1.25,-0.241026,-0.932423
1.26,-0.250224,-0.919719
1.27,-0.259282,-0.905794
1.28,-0.268188,-0.890655
1.29,-0.276931,-0.874307
1.3,-0.285499,-0.856761
1.31,-0.293879,-0.838027
1.32,-0.30206,-0.818117
1.33,-0.310031,-0.797044
1.34,-0.317779,-0.774823
1.35,-0.325294,-0.751471
1.36,-0.332564,-0.727006
1.37,-0.339578,-0.701447
1.38,-0.346326,-0.674814
1.39,-0.352798,-0.647131
1.4,-0.358982,-0.618421
1.41,-0.364869,-0.588709
1.42,-0.370449,-0.558021
1.43,-0.375713,-0.526384
1.44,-0.380651,-0.493829
1.45,-0.385255,-0.460385
1.46,-0.389516,-0.426084
1.47,-0.393425,-0.390958
1.48,-0.396976,-0.355041
1.49,-0.40016,-0.318369
1.5,-0.402969,-0.280977
1.51,-0.405398,-0.242903
1.52,-0.40744,-0.204184
1.53,-0.409089,-0.164861
1.54,-0.410339,-0.124973
1.55,-0.411184,-0.0845612
1.56,-0.411621,-0.0436676
1.57,-0.411644,-0.002335
1.58,-0.41125,0.0393932
1.59,-0.410436,0.0814729
1.6,-0.409197,0.123859
1.61,-0.407532,0.166506
1.62,-0.405438,0.209368
1.63,-0.402914,0.252399
1.64,-0.399959,0.295551
1.65,-0.396571,0.338777
1.66,-0.392751,0.382028
1.67,-0.388498,0.425258
1.68,-0.383814,0.468417
1.69,-0.378699,0.511457
1.7,-0.373156,0.554329
1.71,-0.367186,0.596985
1.72,-0.360792,0.639375
1.73,-0.353978,0.68145
1.74,-0.346746,0.723163
1.75,-0.339102,0.764463
1.76,-0.331049,0.805304
1.77,-0.322592,0.845635
1.78,-0.313738,0.885411
1.79,-0.304492,0.924582
1.8,-0.294861,0.963102
1.81,-0.284852,1.00092
1.82,-0.274472,1.038
1.83,-0.263729,1.07429
1.84,-0.252632,1.10975
1.85,-0.241188,1.14432
1.86,-0.229409,1.17797
1.87,-0.217302,1.21066
1.88,-0.204879,1.24234
1.89,-0.192149,1.27298
1.9,-0.179124,1.30252
1.91,-0.165814,1.33094
1.92,-0.152232,1.35819
1.93,-0.13839,1.38424
1.94,-0.1243,1.40905
1.95,-0.109974,1.43258
1.96,-0.0954257,1.45482
1.97,-0.0806686,1.47571
1.98,-0.0657163,1.49523
1.99,-0.0505828,1.51335
2,-0.0352823,1.53005
2.01,-0.0198294,1.54529
2.02,-0.00423896,1.55905
2.03,0.0114741,1.5713
2.04,0.0272944,1.58203
2.05,0.0432066,1.59122
2.06,0.059195,1.59883
2.07,0.0752436,1.60487
2.08,0.0913366,1.6093
2.09,0.107458,1.61212
2.1,0.123591,1.61331
2.11,0.13972,1.61286
2.12,0.155827,1.61077
2.13,0.171897,1.60702
2.14,0.187913,1.6016
2.15,0.203859,1.59453
2.16,0.219716,1.58578
2.17,0.23547,1.57537
2.18,0.251103,1.56329
2.19,0.266599,1.54955
2.2,0.28194,1.53414
2.21,0.297111,1.51709
2.22,0.312095,1.49839
2.23,0.326875,1.47805
